imDbId,title,fullTitle,type,year,imDb,metacritic,theMovieDb,rottenTomatoes,tV_com,filmAffinity,errorMessage
tt3738576,Drain the Great Lakes,Drain the Great Lakes (2011),Movie,2011,6.9,,6.5,,,,
tt8780664,Secrets of the King Cobra,Secrets of the King Cobra (2010),Movie,2010,6.7,,4,,,,
tt10538348,Viking Warrior Women,Viking Warrior Women (2019),Movie,2019,6.6,,7.7,,,,
tt10155932,Cinderella,Cinderella (2021),Movie,2021,,41,6.7,42,,4.4,
tt0955308,Robin Hood,Robin Hood (2010),Movie,2010,6.6,53,6.4,,7.8,6.1,
tt0105824,Wind,Wind (1992),Movie,1992,6.4,57,6.5,50,,5.6,
tt2380307,Coco,Coco (2017),Movie,2017,8.4,81,8.2,97,,8,
tt0417299,Avatar: The Last Airbender,Avatar: The Last Airbender (TV Series 2005–2008),TVSeries,2005,9.2,,8.6,97,,7.7,
tt0435761,Toy Story 3,Toy Story 3 (2010),Movie,2010,8.2,92,7.8,,9.6,7.9,
tt3606756,Incredibles 2,Incredibles 2 (2018),Movie,2018,7.6,80,7.5,,9,6.7,
tt0398286,Tangled,Tangled (2010),Movie,2010,7.7,71,7.6,,8.6,6.9,
tt1300854,Iron Man 3,Iron Man 3 (2013),Movie,2013,7.1,62,6.9,79,,6.1,
tt1216516,Tinker Bell and the Lost Treasure,Tinker Bell and the Lost Treasure (2009),Movie,2009,6.7,,6.8,,8.5,5.8,
tt8503618,Hamilton,Hamilton (2020),Movie,2020,8.5,90,8.5,,,8.1,
tt4154664,Captain Marvel,Captain Marvel (2019),Movie,2019,6.9,64,6.9,79,,5.9,
tt1453405,Monsters University,Monsters University (2013),Movie,2013,7.3,65,7,,8.3,6.5,
tt1217209,Brave,Brave (2012),Movie,2012,7.1,69,7,,,6.5,
tt7146812,Onward,Onward (2020),Movie,2020,7.4,61,7.8,88,,6.8,
